PM2.5,PM10,So2,No2,Co,O3,AQI
32,43,3,32,0.82,58,48
16,28,3,22,0.71,76,37
28,53,5,34,0.71,88,56
41,84,7,47,0.87,77,74
41,88,6,43,1.09,41,70
17,33,5,25,0.88,47,34
14,25,5,25,0.72,52,29
30,52,7,34,0.74,58,50
44,81,8,46,0.71,86,73
52,103,11,46,0.95,86,83
27,60,10,36,0.87,100,70
39,76,4,41,0.84,70,64
46,79,5,37,0.76,80,77
44,92,7,42,0.82,106,79
59,117,8,50,1.02,100,90
57,86,5,42,1,63,80
30,53,4,40,0.79,79,50
43,82,4,43,0.73,84,74
39,83,5,39,0.67,79,72
31,93,7,45,0.67,56,72
25,79,8,34,0.57,102,79
29,77,7,37,0.57,112,81
29,70,6,28,0.61,62,61
17,30,4,25,0.59,60,46
20,41,3,39,0.91,30,43
26,55,4,33,0.7,45,53
25,58,6,35,0.56,55,55
21,57,6,27,0.51,77,55
11,26,6,21,0.68,65,35
12,19,4,26,0.62,79,42
26,42,5,36,0.74,45,44
17,24,4,35,0.65,40,30
22,33,5,45,0.7,31,36
31,56,6,34,0.87,55,55
21,48,6,30,0.71,33,47
9,15,4,22,0.57,32,18
8,12,4,31,0.61,27,19
12,26,4,27,0.62,53,29
8,16,4,22,0.57,64,31
13,25,4,33,0.62,41,30
10,20,3,27,0.77,29,22
26,52,4,39,0.88,74,56
33,65,5,42,0.88,78,73
25,59,7,28,0.71,78,66
29,59,5,25,0.64,74,58
31,62,5,30,0.68,66,59
39,89,4,43,0.79,96,84
31,63,5,38,0.82,66,57
35,58,4,27,0.85,79,58
12,24,3,27,0.72,47,31
22,49,5,35,0.95,99,69
30,67,5,30,0.88,58,60
20,49,5,24,0.62,53,50
22,43,3,27,0.74,26,43
15,35,3,20,0.52,38,38
17,43,4,20,0.6,54,43
17,49,5,20,0.5,75,49
22,58,5,22,0.51,87,57
22,64,4,26,0.56,77,59
30,87,4,33,0.62,95,75
40,99,5,36,0.64,101,83
37,98,4,36,0.69,98,80
37,87,5,27,0.58,120,81
26,71,5,25,0.5,112,72
23,76,7,36,0.48,75,69
34,121,8,49,0.84,79,98
35,95,6,36,0.81,103,94
24,63,6,30,0.81,74,59
19,45,5,28,0.84,43,46
14,30,4,29,0.7,32,31
28,62,5,31,0.8,47,56
25,55,4,43,0.73,33,51
25,60,5,40,0.83,46,56
20,45,4,29,0.68,43,46
29,60,5,26,0.7,66,57
24,60,5,29,0.65,68,57
26,68,5,31,0.76,80,70
29,72,5,31,0.74,88,74
25,76,5,33,0.7,78,74
24,65,5,33,0.79,76,67
28,80,6,33,0.83,87,75
49,104,7,30,0.97,110,86
58,114,5,29,1.18,118,103
46,104,7,36,0.93,117,98
31,93,7,37,0.76,80,77
43,110,5,35,1.03,79,82
33,66,4,14,0.97,98,62
48,91,5,21,1.01,100,75
47,96,5,34,1.18,87,77
57,128,5,47,1.2,90,97
55,108,6,39,1.13,80,88
9,21,4,15,0.6,45,27
18,53,9,22,0.65,103,59
24,66,11,41,0.66,104,71
31,90,18,55,0.93,104,86
45,112,15,44,0.86,118,95
43,94,10,35,0.65,102,81
55,99,9,28,0.77,101,88
46,112,10,55,0.86,118,101
63,150,14,72,1.14,98,116
49,123,16,65,1.01,84,89
46,120,16,68,0.95,84,97
30,74,9,42,0.64,75,65
44,95,16,45,0.65,87,79
53,129,12,56,0.78,90,95
64,126,12,56,0.87,61,92
41,78,8,41,0.74,78,70
45,110,11,49,0.82,100,93
45,102,15,41,0.92,105,89
34,86,16,45,0.84,97,77
45,102,12,44,0.88,123,96
25,56,7,22,0.61,93,56
11,31,5,15,0.43,57,34
12,36,6,20,0.44,74,41
26,66,10,34,0.72,77,59
38,90,11,26,0.72,105,74
32,93,13,25,0.6,112,76
37,93,14,46,0.69,101,78
61,155,15,73,0.98,90,114
66,151,19,75,1.03,94,109
74,165,19,80,1.09,84,117
85,160,19,65,1.29,66,114
93,157,12,47,1.18,90,129
39,63,7,21,0.87,65,66
13,48,6,16,0.75,54,45
19,32,7,20,0.63,42,34
20,31,7,29,0.59,41,34
33,48,7,46,0.84,20,49
37,54,6,37,0.8,21,53
60,100,8,60,1.44,26,84
51,93,11,67,1.42,43,77
44,83,10,52,0.91,64,68
62,108,10,48,1.06,74,87
58,97,10,35,1.06,71,82
43,74,8,24,0.75,76,66
34,67,13,32,0.87,88,65
23,59,10,31,0.69,71,55
37,68,10,38,0.77,33,63
30,37,6,39,0.81,25,46
36,49,7,40,0.75,28,52
40,58,6,47,0.93,21,57
52,91,8,55,1.21,19,75
32,50,6,35,0.97,31,50
43,81,11,64,1.25,38,67
39,78,10,57,1.1,50,66
83,131,9,63,1.55,22,111
57,75,6,45,1.51,9,79
15,28,6,30,1.14,20,30
7,15,5,27,1.16,18,17
12,21,5,29,1.28,15,24
14,28,5,27,1.11,7,29
16,23,5,38,1.16,17,28
11,15,4,32,1.12,9,18
21,32,5,34,1.45,6,34
14,21,5,24,0.89,32,25
13,18,4,27,0.79,35,22
29,41,6,40,0.94,20,43
21,25,5,34,0.89,18,33
28,40,6,31,0.91,14,44
34,52,6,36,0.76,32,52
58,92,8,51,0.96,25,81
58,105,9,64,1.36,27,84
71,128,18,73,1.49,26,102
78,128,13,58,1.32,37,110
78,76,7,31,1.38,26,108
48,53,7,24,0.86,44,67
44,53,7,37,0.67,33,62
39,56,8,47,0.73,41,57
47,83,13,58,1.05,20,71
55,111,15,66,1.23,19,83
78,141,17,73,1.75,12,106
92,162,15,83,1.9,17,123
151,193,12,84,1.73,17,198
92,106,10,52,1.56,24,122
39,51,7,36,1.26,7,56
36,56,7,41,1.48,3,52
50,77,8,45,1.51,9,71
68,93,9,43,1.59,21,94
39,60,7,43,1.88,5,59
7,11,5,23,0.99,25,15
18,18,5,19,1.05,42,28
45,62,12,44,1.15,25,63
39,65,10,55,0.84,17,58
55,73,10,46,0.7,28,76
76,136,14,83,1.54,22,103
76,154,14,79,1.44,26,111
98,155,13,63,1.26,16,130
99,132,11,50,1.04,28,130
117,168,13,83,1.62,13,155
100,160,13,85,1.62,23,137
117,182,18,91,1.46,23,154
101,123,12,52,1.17,31,135
94,150,19,60,1.43,37,128
82,123,16,57,1.34,37,111
122,174,14,102,1.54,20,161
140,193,15,104,1.68,32,185
133,172,20,77,1.68,43,177
69,87,10,40,1,36,93
76,98,11,55,1.18,17,103
99,105,8,54,1.23,6,131
114,74,6,37,1.23,13,151
62,45,7,30,1.04,24,85
84,102,13,57,1.15,28,112
112,129,16,69,1.33,35,148
80,109,23,75,1.3,24,107
76,117,22,78,1.32,22,103
89,117,15,79,1.33,10,119
137,61,7,48,1.45,8,183
52,41,5,43,1.86,20,72
73,87,8,71,1.8,13,99
83,122,11,74,1.69,13,111
67,86,10,54,1.25,14,91
55,23,5,38,1.16,7,75
41,41,7,36,1.11,12,58
70,74,14,42,1.34,29,95
84,110,18,59,1.41,23,113
96,115,15,56,1.28,33,127
107,140,16,63,1.41,22,142
110,161,23,89,1.93,14,146
111,165,24,91,1.82,14,147
128,157,15,69,1.38,33,169
159,199,19,93,1.82,20,208
185,215,13,87,2.14,5,235
30,29,4,40,1.69,12,43
16,14,4,33,0.83,24,24
26,30,4,34,0.98,16,37
59,72,9,43,1.26,36,82
106,121,17,58,1.76,37,140
91,98,10,41,1.38,52,121
113,103,10,45,1.47,24,149
96,72,9,46,1.29,35,127
80,106,9,70,1.43,15,107
71,101,19,57,1.21,32,95
47,75,12,47,0.95,33,68
69,96,13,57,1.16,31,94
67,94,10,56,1,28,91
93,105,9,50,1.04,16,124
113,127,10,33,1.05,44,150
55,118,14,36,0.78,51,92
59,118,16,60,1.1,31,87
100,155,16,76,1.49,28,132
87,124,20,67,1.28,37,116
65,90,19,50,1.19,50,89
81,93,10,42,1.17,45,109
62,74,9,45,1.08,46,85
122,232,14,35,1.34,53,170
150,193,21,36,1.64,47,197
116,130,10,17,1.38,40,153
109,124,12,17,1.48,55,146
68,74,9,22,1.22,44,93
58,32,4,16,1,36,80
65,31,4,25,1.08,28,88
63,27,5,29,1.28,14,86
43,31,6,26,1.23,16,61
58,68,7,34,1.48,24,80
87,96,9,43,1.66,22,116
55,55,7,28,1.05,43,76
45,39,5,18,0.85,58,63
84,81,10,36,1.2,50,112
62,78,15,50,1.05,48,85
47,71,20,54,1.05,44,67
69,101,14,73,1.16,42,95
69,108,26,89,1.42,35,95
53,98,20,80,1.18,38,76
82,147,23,100,1.52,35,112
90,143,21,75,1.28,60,121
164,221,13,53,1.64,32,207
99,131,13,59,1.39,22,133
133,171,13,63,1.54,28,177
103,150,11,46,1.46,30,137
23,47,7,30,0.91,31,45
61,49,7,29,0.99,39,83
61,72,13,48,1.09,40,83
57,83,13,64,1.02,39,79
62,92,15,65,0.97,51,85
69,117,13,79,1.12,44,94
72,133,25,86,1.31,43,100
72,122,25,80,1.17,54,98
54,127,11,53,0.85,54,100
28,110,15,52,0.78,49,81
44,108,26,63,0.97,46,80
74,128,18,84,1.31,12,106
59,74,8,48,1.02,33,81
216,244,12,63,1.85,44,266
144,178,14,71,1.56,59,183
85,124,19,65,1.11,65,114
81,140,26,84,1.27,55,108
58,81,15,51,1.05,59,80
75,119,14,72,1.29,20,102
57,69,8,53,1.1,41,79
26,25,5,22,0.87,65,41
31,63,11,38,1,59,57
44,70,13,55,0.96,44,65
65,83,11,60,1.1,42,89
73,83,9,83,1.19,21,99
90,83,7,62,1.14,22,120
78,68,7,61,1.27,12,105
43,24,4,31,0.82,48,60
50,59,7,48,0.96,41,71
33,37,4,49,0.98,41,48
43,44,6,43,1.18,30,61
33,33,4,34,0.78,35,48
42,85,8,47,0.87,36,75
34,145,10,60,0.89,45,99
41,145,12,64,0.92,58,98
45,119,15,48,0.88,62,86
73,128,14,40,1.09,64,101
62,77,8,35,1.19,52,84
38,53,7,27,0.75,88,59
63,93,9,56,0.99,62,86
48,91,12,63,0.95,69,80
55,122,29,63,1.19,58,87
59,111,20,68,1.21,31,86
76,94,7,56,1.48,17,103
35,48,5,37,1.18,26,51
44,72,6,48,1.4,33,65
40,67,8,40,1.67,50,62
7,11,5,18,1,73,35
9,14,5,21,0.7,64,34
38,52,6,34,1.01,59,55
48,85,9,60,1.23,50,70
49,96,10,67,1.21,61,79
42,101,9,58,1.01,64,77
53,126,13,59,1.34,64,89
54,104,7,51,1.38,29,79
17,58,6,21,0.64,69,54
31,122,8,41,0.9,61,87
51,153,9,62,1.22,34,103
27,85,6,32,0.78,52,69
30,107,8,43,0.79,32,80
32,118,9,52,0.74,58,85
40,122,9,65,0.86,66,89
40,122,9,65,0.86,66,89
47,124,15,57,0.95,77,89
52,102,9,52,1.01,52,81
56,83,5,23,1.04,77,79
32,74,10,37,0.79,107,71
40,94,10,65,0.79,83,79
35,94,11,61,0.77,81,78
46,118,13,62,0.87,84,93
57,104,9,58,1.1,49,86
45,80,8,42,1.01,75,73
27,46,6,25,0.94,61,48
16,31,5,22,0.82,67,38
34,117,7,39,0.89,74,84
160,617,13,42,0.91,60,422
104,286,7,61,1.2,18,177
29,58,4,29,0.73,59,55
29,74,5,45,0.86,54,63
42,115,7,65,1.07,61,84
57,127,8,64,1.31,40,90
19,48,5,30,0.62,79,52
29,88,6,53,0.81,72,73
57,155,9,58,1.19,85,109
41,88,5,35,0.89,87,70
40,85,5,31,0.81,87,70
42,101,6,56,0.87,94,90
57,132,9,60,1.11,93,104
67,118,9,49,1.12,66,92
71,132,7,56,1.18,78,104
71,132,7,56,1.18,78,104
55,110,7,45,1.03,90,89
33,51,4,29,0.87,56,50
13,24,4,19,0.77,59,30
23,48,5,23,0.69,100,56
31,76,8,53,0.85,94,71
43,93,7,52,0.83,104,89
39,106,8,63,0.92,96,98
40,125,8,62,0.99,86,103
42,114,11,55,0.93,95,96
53,125,8,59,0.99,79,89
56,102,5,33,0.93,82,80
28,63,4,26,0.73,87,58
50,97,5,45,1.21,88,83
60,126,5,42,1.14,113,99
41,106,5,24,0.99,105,80
23,34,3,23,0.87,68,40
12,24,3,18,0.73,88,44
25,51,4,39,0.86,102,66
34,73,6,41,1.09,82,72
25,49,3,40,1.07,24,46
25,39,3,25,0.94,40,41
20,37,3,31,0.89,57,38
21,33,3,45,1.07,26,35
16,28,3,29,0.85,45,30
30,57,4,43,0.91,60,54
39,58,3,45,0.89,48,57
35,65,5,38,0.85,85,65
43,80,5,46,0.87,95,73
36,67,7,33,0.9,94,66
38,74,6,39,0.95,64,63
49,90,5,42,1,87,79
42,74,4,34,0.89,82,66
22,58,5,36,0.86,76,59
25,51,3,35,0.92,42,48
30,64,4,43,1.39,43,57
36,71,2,44,0.95,58,63
30,55,3,34,0.85,68,53
21,40,3,22,0.75,101,57
26,55,3,27,0.85,113,65
26,57,4,31,0.93,84,61
9,16,2,23,0.69,39,24
7,15,3,22,0.67,27,18
12,27,3,21,0.65,59,33
22,47,3,27,0.91,68,56
16,39,3,24,0.84,46,43
15,38,3,24,0.75,42,40
14,41,3,26,0.72,47,43
13,42,4,28,0.58,43,43
16,44,4,29,0.63,36,44
10,28,3,25,0.62,27,30
12,29,3,22,0.62,64,34
11,32,4,24,0.62,48,36
10,35,4,19,0.6,51,36
19,47,5,23,0.7,67,48
18,46,4,24,0.66,64,46
21,60,5,29,0.69,69,58
22,58,4,33,0.68,63,59
20,63,4,33,0.66,66,60
19,51,4,24,0.6,69,53
10,32,5,18,0.49,56,38
9,34,4,17,0.49,61,39
11,41,5,20,0.5,69,44
20,62,6,30,0.61,93,65
27,75,6,37,0.67,91,73
28,72,5,33,0.67,74,66
30,92,6,50,0.85,84,87
35,89,5,40,0.81,86,77
45,99,5,32,0.84,108,84
58,119,5,36,1.19,90,90
64,102,3,22,1.58,105,98
46,75,4,17,1.05,77,71
24,45,4,15,0.93,62,46
12,21,3,22,0.81,39,25
12,22,3,21,0.77,51,27
22,47,3,33,0.95,69,52
33,69,3,48,1.07,54,61
34,74,3,43,1.04,65,66
25,57,3,28,0.73,82,64
22,59,5,31,0.66,72,58
17,41,3,26,0.72,58,41
20,38,3,22,0.81,82,50
16,43,4,23,0.67,91,52
25,69,6,38,0.91,51,60
9,18,3,22,0.68,31,21
10,22,3,24,0.78,41,23
26,49,4,30,0.95,64,48
38,65,5,39,1.11,80,65
37,67,5,45,1.04,56,65
12,33,6,25,0.81,38,35
19,52,8,29,0.87,47,50
20,49,6,23,0.65,58,49
25,58,6,36,0.95,56,55
31,63,6,31,1.06,67,61
29,62,7,28,0.97,83,66
22,54,8,27,0.89,101,69
23,61,9,36,1.02,56,62
25,45,5,35,1.15,57,47
22,48,6,24,1.09,84,49
31,64,8,22,1.05,92,65
21,58,9,27,0.93,71,57
21,44,5,17,1.17,92,56
8,26,5,19,0.75,46,28
14,35,5,23,0.68,38,36
16,40,6,33,0.88,26,39
21,41,5,34,1,19,42
11,19,5,28,0.86,36,21
15,34,5,31,0.86,47,36
24,54,6,48,1.06,22,51
15,28,5,27,0.85,43,32
19,52,7,44,0.85,78,58
48,113,7,91,1.33,10,82
52,115,9,41,1.34,114,95
29,50,6,26,0.98,51,49
16,36,6,24,0.8,71,43
28,60,9,41,1.09,70,61
31,76,10,50,0.98,93,76
34,79,11,42,0.95,112,81
26,76,11,48,0.96,99,82
33,86,10,49,0.95,96,83
34,90,11,53,0.85,100,85
66,135,15,63,1.18,80,99
52,67,7,42,1.24,58,72
24,41,6,37,0.94,51,43
35,66,8,60,1.12,20,59
49,83,7,68,1.28,39,71
33,50,6,49,1.18,40,53
33,67,8,38,1.3,48,57
37,77,6,37,1.18,42,65
31,59,6,30,1.29,51,55
14,23,4,22,1.08,52,30
14,29,4,24,0.9,64,36
20,36,7,42,0.99,37,37
32,56,9,44,1.23,23,51
39,71,8,36,1.25,48,62
9,18,4,18,0.96,43,23
6,12,4,19,0.78,46,23
8,14,4,27,0.9,21,17
22,42,8,40,1.24,17,39
32,63,8,42,1.22,26,57
52,102,9,61,1.5,62,80
65,123,8,68,1.66,53,90
37,52,6,24,1.28,33,56
14,16,5,23,0.95,22,22
5,9,5,25,0.84,34,17
13,25,6,27,0.7,38,27
20,37,6,29,0.69,36,38
12,25,6,22,0.65,61,33
12,19,5,22,0.6,54,27
15,26,5,26,0.67,53,32
20,33,5,28,0.63,33,34
19,32,5,28,0.6,49,34
43,75,9,54,1.01,43,65
34,65,8,53,0.84,58,59
61,104,9,72,1.01,58,84
101,132,9,52,1.29,66,133
66,110,12,60,1.15,52,95
40,91,14,65,0.9,47,72
48,99,9,65,0.88,56,76
71,146,13,93,1.3,46,101
61,117,13,79,1.21,58,88
48,103,9,40,0.83,67,84
19,69,9,50,0.59,45,60
47,110,16,72,0.97,39,82
72,138,15,94,1.32,38,101
86,154,14,102,1.37,48,115
124,174,15,75,1.38,71,164
88,102,10,44,1.1,76,119
37,81,17,56,0.88,55,67
65,117,18,80,1.2,46,91
103,167,13,105,1.46,27,137
140,205,15,103,1.62,41,184
89,139,17,72,1.38,79,121
78,134,15,62,1.16,38,115
30,90,9,38,0.67,39,72
52,72,6,50,0.95,16,73
54,58,5,50,1.05,16,75
64,91,8,59,1.31,10,87
98,138,14,77,1.66,19,130
91,114,13,64,1.37,26,120
80,81,4,45,1.21,11,107
50,81,6,38,0.94,31,76
51,73,9,43,0.94,17,71
56,71,10,43,0.75,36,77
66,95,10,59,0.87,18,90
62,108,11,49,0.8,25,100
44,116,12,66,0.8,26,84
60,128,13,78,1.07,22,90
63,121,17,81,1.06,24,88
83,134,14,89,1.28,22,111
91,149,20,88,1.54,29,123
104,145,16,85,1.5,19,137
122,123,8,43,1.27,37,161
41,36,3,33,0.89,9,58
53,63,5,37,0.9,14,73
66,85,7,53,0.99,20,90
81,109,10,64,1.29,13,109
175,170,8,53,1.43,39,220
162,88,13,62,1.69,44,206
132,160,21,83,1.71,11,176
102,130,16,71,1.26,15,136
85,109,15,51,1.08,38,116
67,120,13,69,1.09,29,93
73,145,16,73,1.25,26,112
54,121,18,76,1.29,21,87
65,107,18,65,1.07,12,91
72,80,8,45,0.92,10,98
44,12,3,33,0.77,14,63
56,29,3,31,0.96,14,78
91,78,7,31,0.98,45,121
67,84,10,54,0.94,36,92
76,116,12,76,1.14,24,103
85,137,14,85,1.35,21,114
83,125,17,81,1.11,24,111
97,153,17,99,1.34,21,128
83,129,28,92,1.36,21,112
123,187,23,101,1.38,7,161
134,173,16,77,1.35,31,174
56,118,19,76,1.04,24,89
83,156,29,94,1.41,20,113
107,160,29,85,1.38,15,141
126,112,17,67,1.36,10,167
142,150,8,65,1.35,16,184
142,208,16,65,1.46,32,185
127,201,17,80,1.8,28,170
88,164,18,73,1.41,30,120
127,169,13,70,1.6,13,163
90,36,4,39,1.64,11,117
35,7,3,26,0.99,26,50
78,38,4,31,1.12,25,105
72,5,3,32,1.11,31,97
123,3,5,30,1.38,54,164
73,36,6,39,0.97,48,103
49,76,8,59,0.98,30,73
53,84,9,63,1.05,30,81
45,96,14,63,0.89,35,75
76,101,16,62,1.03,31,102
67,97,24,73,1.2,15,91
72,113,18,74,1.14,23,98
93,150,27,86,1.53,4,124
125,101,10,66,1.24,14,167
114,99,11,50,1.13,39,152
146,81,6,51,1.28,24,191
163,3,4,50,1.47,13,214
176,62,9,66,2.21,7,227
131,84,7,69,1.97,10,173
86,82,8,57,1.37,25,115
117,71,5,40,1.44,16,155
50,5,2,30,0.85,12,69
34,4,3,24,0.69,44,49
39,22,4,24,0.73,49,56
49,12,4,19,0.68,65,69
57,11,4,17,0.67,68,78
79,73,8,37,0.92,68,106
75,85,13,73,1.11,44,101
65,84,12,53,0.79,60,88
78,127,20,84,1.32,23,104
56,110,14,58,0.77,40,88
26,81,9,33,0.49,51,66
34,70,14,50,0.73,41,61
54,97,12,67,0.83,33,78
69,112,16,85,1.07,28,93
88,131,22,99,1.3,18,118
88,121,17,77,1.16,46,118
96,143,26,96,1.55,23,128
130,152,13,53,1.21,58,171
111,185,12,64,1.21,50,155
36,105,13,51,0.92,59,79
62,125,13,64,1.08,56,89
86,146,20,74,1.47,27,114
89,105,6,30,1.04,41,118
100,119,7,25,1.02,44,133
80,83,8,24,1.28,57,107
90,75,4,20,1.05,57,120
43,33,3,19,0.78,35,60
19,15,2,21,0.75,32,28
64,63,2,20,1.01,48,88
86,89,4,33,1.2,62,115
55,63,9,34,1.16,59,80
49,96,13,41,1.14,43,74
82,121,6,43,1.02,43,110
75,87,10,55,1.2,44,101
30,37,9,53,1.19,19,44
34,43,4,34,0.91,57,51
54,65,8,46,1.24,36,75
56,56,6,42,1.35,35,77
62,74,7,48,1.66,26,85
38,47,8,39,1.55,17,53
23,32,4,24,0.82,53,35
31,40,6,37,0.77,42,45
27,21,3,26,0.65,46,40
43,44,4,40,0.71,45,60
53,79,7,55,0.84,49,78
51,93,14,61,1.01,50,80
48,107,20,77,1.12,38,80
52,113,12,76,1.14,46,82
66,123,13,80,1.14,39,92
51,69,8,44,0.98,47,72
44,70,7,45,1.03,43,67
27,51,4,31,0.67,48,49
38,50,8,41,1.01,30,55
22,21,2,28,0.86,36,36
45,32,2,29,0.98,35,64
43,47,2,30,0.81,67,60
41,71,6,59,0.67,49,65
64,111,7,85,1.06,29,90
58,129,14,76,1.25,45,96
50,120,14,65,1.01,40,86
46,87,10,54,0.9,46,71
44,87,5,55,0.89,58,72
42,92,7,68,0.87,57,75
49,118,10,74,1.06,60,86
58,139,19,92,1.34,35,95
88,146,8,50,1.25,87,118
78,141,6,70,1.15,77,113
93,175,9,100,1.61,53,124
60,107,7,56,1.17,71,88
50,108,11,52,1.23,62,81
46,191,6,29,0.85,43,121
25,32,2,21,0.76,41,38
25,32,2,21,0.76,41,38
32,141,3,21,0.63,67,95
25,127,6,33,0.57,77,89
37,136,7,51,0.64,68,94
43,131,11,62,0.87,64,92
54,139,10,61,0.89,86,98
68,157,9,79,1.22,48,104
59,86,5,43,1.25,38,81
23,35,2,26,0.77,39,41
23,58,3,24,0.68,66,53
62,404,5,49,0.78,54,315
70,373,7,63,0.81,59,246
57,230,8,58,0.84,74,141
58,171,13,50,1.01,90,112
48,132,16,52,0.93,93,93
55,122,15,45,0.93,96,88
39,62,4,30,0.9,60,58
34,60,8,35,1.13,25,52
20,30,2,18,0.81,45,34
42,62,2,21,0.77,71,59
42,69,7,33,0.98,90,62
47,76,7,39,0.96,90,67
56,81,5,47,1.08,82,85
53,85,7,57,1.24,73,85
46,77,5,52,1.15,48,67
33,61,4,39,1.15,57,57
24,43,4,35,0.87,73,47
51,98,3,24,0.96,102,82
27,87,10,53,0.9,89,74
34,83,13,58,0.87,73,68
35,52,4,27,0.87,59,56
13,24,2,22,0.77,54,31
11,24,2,18,0.64,98,51
20,44,5,37,0.71,74,48
33,87,9,55,0.96,89,83
39,76,13,49,1,107,69
68,78,7,53,1.37,38,92
38,54,3,26,1.01,75,65
38,66,5,42,0.85,83,79
39,81,6,48,0.97,58,67
25,63,4,27,0.65,70,57
22,63,4,22,0.62,86,58
25,68,5,29,0.74,87,62
24,51,4,43,0.99,61,48
21,41,4,28,0.94,87,46
22,38,4,29,1.08,45,40
18,34,3,28,1.05,24,35
23,64,2,19,0.74,46,51
52,158,5,28,0.79,80,105
43,90,5,38,1.03,75,71
40,69,5,33,1.04,72,69
12,24,3,17,0.99,69,35
62,215,4,24,0.63,84,140
44,155,7,56,0.69,61,104
56,178,12,79,1.04,61,115
44,93,6,50,0.99,53,73
30,53,4,39,0.9,81,55
41,72,6,47,1.11,84,79
26,45,5,41,0.82,111,63
40,67,5,36,0.83,123,83
47,81,6,46,0.9,97,74
56,82,5,40,0.93,79,77
47,81,5,44,1.02,102,92
33,66,10,47,1.12,97,79
23,43,6,33,0.9,44,44
28,49,3,22,0.89,79,52
26,51,4,26,0.9,126,75
29,66,6,51,0.83,110,80
37,91,8,62,0.91,93,90
28,55,6,26,0.72,111,69
29,60,11,42,1,107,78
38,79,12,47,0.99,126,98
46,83,10,33,0.98,190,128
47,83,11,32,0.99,179,120
46,78,11,32,1.03,152,100
37,53,5,25,0.93,68,59
18,31,4,26,0.77,66,42
32,54,6,34,0.92,91,71
24,37,4,32,0.96,67,43
25,42,5,30,0.98,95,61
26,48,5,26,0.99,71,55
16,35,3,26,0.78,66,46
14,38,4,20,0.61,69,44
17,40,5,18,0.59,79,47
21,42,5,28,0.78,56,44
28,53,4,39,0.95,57,54
20,42,4,39,0.87,39,43
21,34,4,23,0.91,84,46
31,48,3,36,1.04,60,49
35,56,3,42,1.13,50,54
27,45,3,31,0.96,56,49
13,23,2,23,0.84,44,27
19,31,3,14,0.71,56,37
7,15,3,13,0.56,36,20
16,28,3,24,0.79,34,29
14,25,3,28,0.78,48,28
33,60,5,42,1.03,73,62
32,50,4,23,0.87,67,51
19,43,5,25,0.74,45,44
15,31,3,21,0.61,65,37
23,49,4,32,0.7,64,53
23,48,6,26,0.69,66,52
31,59,8,28,0.79,81,62
30,59,8,27,0.77,91,66
28,55,8,24,0.67,89,60
23,50,8,27,0.71,74,55
26,56,9,35,0.76,87,67
33,69,8,36,0.76,93,78
33,58,7,23,0.82,89,63
21,43,6,26,0.7,75,48
34,68,5,37,0.77,88,73
21,46,5,28,0.65,72,54
20,45,5,23,0.66,78,54
19,50,8,31,0.83,56,51
19,40,8,28,0.88,57,47
22,49,10,30,1,79,60
22,52,6,31,0.87,95,74
23,49,8,36,0.94,79,56
31,58,8,40,1.09,93,80
31,61,6,33,0.95,100,75
21,37,6,29,1.02,81,51
21,38,5,28,0.87,78,48
25,42,5,27,0.85,101,61
31,54,5,33,1.08,97,67
29,48,5,34,0.99,115,78
34,59,5,40,0.98,106,71
36,60,6,42,1.06,107,86
37,64,6,39,0.98,110,79
43,70,6,37,1,146,105
47,75,7,30,1.03,139,104
19,30,4,15,0.72,69,41
15,31,5,24,0.83,66,35
24,38,4,16,0.82,93,48
17,35,4,12,0.72,89,47
21,33,3,14,0.71,68,37
20,31,4,20,0.77,72,38
18,28,4,24,0.77,70,38
10,18,4,21,0.68,63,32
15,28,6,22,0.73,96,49
22,38,5,20,0.81,102,59
43,60,5,16,0.97,122,69
26,47,7,21,0.88,146,81
20,32,5,17,0.75,76,43
22,42,6,26,0.99,84,53
19,34,6,26,0.86,70,41
19,31,4,30,0.76,74,41
24,38,4,35,0.82,72,53
25,67,9,53,1.1,97,78
38,90,13,54,1.05,99,89
31,47,5,36,1,75,48
13,40,5,24,0.63,61,42
12,33,7,28,0.64,85,48
25,48,11,41,0.99,95,63
31,55,9,41,0.86,87,55
35,54,9,42,0.98,82,63
48,79,11,55,1.07,77,69
49,77,8,44,1.01,66,72
26,44,7,32,0.89,85,60
28,42,6,21,0.8,88,51
40,58,5,16,0.87,93,58
26,39,6,18,0.91,65,43
17,29,6,30,0.93,45,34
19,37,5,29,0.76,53,42
17,36,5,27,1.08,47,41
16,26,5,24,0.94,67,38
23,58,7,53,0.86,44,54
47,101,15,69,1.42,75,85
43,77,10,45,1.02,90,75
35,56,9,31,0.9,102,58
21,29,5,29,0.71,53,35
21,36,7,32,0.76,61,40
26,44,6,32,0.73,86,55
31,65,8,55,0.88,63,61
39,97,10,64,0.98,62,75
15,46,9,27,0.62,77,48
23,49,10,42,0.81,75,54
31,55,13,50,0.87,83,62
33,61,12,44,0.84,102,74
37,60,12,37,0.81,118,74
61,97,13,70,0.96,99,97
66,112,16,77,1.15,100,103
70,109,13,59,1.08,100,95
66,82,8,40,0.98,68,89
27,73,12,43,0.83,78,65
26,58,14,46,0.73,70,57
35,64,14,45,0.79,94,65
50,79,16,53,1,83,70
41,49,5,33,0.85,62,59
39,48,5,34,0.83,36,57
34,49,5,40,0.93,22,50
37,57,8,42,0.89,57,58
52,74,11,43,1.08,89,74
31,56,11,43,0.84,55,54
34,43,7,42,0.79,30,49
40,46,4,37,0.76,27,57
